"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","tonnes"
"Andorra","2014","0","","tonnes"
"Andorra","2013","0","","tonnes"
"Andorra","2012","0","","tonnes"
"Andorra","2011","0","","tonnes"
"Andorra","2010","0","","tonnes"
"Andorra","2009","0","","tonnes"
"Andorra","2008","0","","tonnes"
"Andorra","2007","0","","tonnes"
"Andorra","2006","0","","tonnes"
"Andorra","2005","0","","tonnes"
"Andorra","2004","425.980010986328","","tonnes"
"Andorra","2003","486.799987792969","1","tonnes"
"Andorra","2002","313.399993896484","1","tonnes"
"Armenia","2012","62402","2","tonnes"
"Armenia","2011","67396","2","tonnes"
"Armenia","2010","48298","2","tonnes"
"Armenia","2009","467523.59375","2","tonnes"
"Armenia","2008","430553.6875","2","tonnes"
"Armenia","2007","440870.90625","2","tonnes"
"Armenia","2006","343392.6875","2","tonnes"
"Armenia","2005","330909.1875","2","tonnes"
"Armenia","2004","544700.625","2","tonnes"
"Armenia","2003","420383.59375","2","tonnes"
"Armenia","2002","1204.5","3","tonnes"
"Armenia","2001","1551.09997558594","3","tonnes"
"Armenia","2000","1967.40002441406","3","tonnes"
"Armenia","1999","912.400024414063","3","tonnes"
"Austria","2014","439247","","tonnes"
"Austria","2012","338860","","tonnes"
"Austria","2010","401082","","tonnes"
"Austria","2008","395221","","tonnes"
"Austria","2006","335042","","tonnes"
"Austria","2004","861967","","tonnes"
"Azerbaijan","2012","205211.203125","","tonnes"
"Azerbaijan","2011","138281.5","","tonnes"
"Azerbaijan","2010","151291.90625","","tonnes"
"Azerbaijan","2009","173658.09375","","tonnes"
"Azerbaijan","2008","69180","","tonnes"
"Azerbaijan","2007","7677","","tonnes"
"Azerbaijan","2006","1435482","","tonnes"
"Azerbaijan","2005","5571","","tonnes"
"Azerbaijan","2004","105165","","tonnes"
"Azerbaijan","2003","11492","","tonnes"
"Azerbaijan","2002","3342","","tonnes"
"Azerbaijan","2001","4927","","tonnes"
"Azerbaijan","2000","11435","","tonnes"
"Azerbaijan","1999","13030","","tonnes"
"Azerbaijan","1998","33922","","tonnes"
"Azerbaijan","1997","36097","","tonnes"
"Azerbaijan","1996","18024","","tonnes"
"Azerbaijan","1995","25434","","tonnes"
"Bangladesh","2005","75920","4","tonnes"
"Bangladesh","2004","73985","4","tonnes"
"Belarus","2010","1332781","","tonnes"
"Belarus","2009","940491","","tonnes"
"Belarus","2008","918345","","tonnes"
"Belarus","2007","321512","","tonnes"
"Belarus","2006","235071","","tonnes"
"Belarus","2005","189612","","tonnes"
"Belarus","2004","169744","5","tonnes"
"Belarus","2003","123930","5","tonnes"
"Belarus","2002","139425","5","tonnes"
"Belarus","2001","116816","5","tonnes"
"Belgium","2014","1926145","","tonnes"
"Belgium","2012","2059944","","tonnes"
"Belgium","2010","13964707","","tonnes"
"Belgium","2008","2200008","","tonnes"
"Belgium","2006","1760728","","tonnes"
"Belgium","2004","3310427","","tonnes"
"Belize","2000","775","6","tonnes"
"Belize","1999","691","6","tonnes"
"Bermuda","2012","501","","tonnes"
"Bermuda","2011","601","","tonnes"
"Bermuda","2010","585","","tonnes"
"Bermuda","2009","598","","tonnes"
"Bermuda","2008","599","","tonnes"
"Bermuda","2007","658","","tonnes"
"Bermuda","2006","899","","tonnes"
"Bulgaria","2014","12176438","","tonnes"
"Bulgaria","2012","13389620","","tonnes"
"Bulgaria","2010","13561160","","tonnes"
"Bulgaria","2008","13037033","","tonnes"
"Bulgaria","2006","13474505","","tonnes"
"Bulgaria","2004","12090994","","tonnes"
"Bulgaria","2000","0","","tonnes"
"Bulgaria","1999","0","","tonnes"
"Bulgaria","1998","0","","tonnes"
"Bulgaria","1997","0","","tonnes"
"Bulgaria","1996","0","","tonnes"
"Bulgaria","1995","0","","tonnes"
"Bulgaria","1990","0","","tonnes"
"Burkina Faso","2002","7871","7","tonnes"
"Burkina Faso","2001","4185","7","tonnes"
"Burkina Faso","2000","1577","7","tonnes"
"Cameroon","2009","8716.599609375","","tonnes"
"Cameroon","2008","9383.2998046875","","tonnes"
"Cameroon","2007","8296.099609375","","tonnes"
"Cameroon","2006","10343.900390625","","tonnes"
"Cameroon","2005","9429.7998046875","","tonnes"
"Cameroon","2004","5715.5","","tonnes"
"Canada","2000","1100000","","tonnes"
"Chile","2009","237760","","tonnes"
"Chile","2008","214430","","tonnes"
"Chile","2007","233500","","tonnes"
"Chile","2006","217110","","tonnes"
"Chile","2005","244150","","tonnes"
"Chile","2004","219010","","tonnes"
"Chile","2003","198190","","tonnes"
"Chile","2002","186600","","tonnes"
"Chile","2001","189720","","tonnes"
"Chile","2000","87090","","tonnes"
"China","2012","27028500","","tonnes"
"China","2011","26895300","8","tonnes"
"China","2010","14895000","","tonnes"
"China","2009","12590000","","tonnes"
"China","2008","12080000","","tonnes"
"China","2007","9960000","","tonnes"
"China","2006","8550000","","tonnes"
"China","2005","8350000","","tonnes"
"China","2004","6780000","","tonnes"
"China","2003","8020000","","tonnes"
"China","2002","6330000","","tonnes"
"China","2001","6710000","","tonnes"
"China","2000","5870000","","tonnes"
"China","1999","9890000","","tonnes"
"China","1998","9282000","","tonnes"
"China, Hong Kong Special Administrative Region","2009","53459","","tonnes"
"China, Hong Kong Special Administrative Region","2008","55899","","tonnes"
"China, Hong Kong Special Administrative Region","2007","59574","","tonnes"
"China, Hong Kong Special Administrative Region","2006","57973","","tonnes"
"China, Hong Kong Special Administrative Region","2005","46357","","tonnes"
"China, Hong Kong Special Administrative Region","2004","47318","","tonnes"
"China, Hong Kong Special Administrative Region","2003","58968","","tonnes"
"China, Hong Kong Special Administrative Region","2002","63848","","tonnes"
"China, Hong Kong Special Administrative Region","2001","76998","","tonnes"
"China, Hong Kong Special Administrative Region","2000","91261","","tonnes"
"China, Hong Kong Special Administrative Region","1999","71705","","tonnes"
"China, Hong Kong Special Administrative Region","1998","88458","","tonnes"
"China, Hong Kong Special Administrative Region","1997","79327","","tonnes"
"China, Hong Kong Special Administrative Region","1996","79405","","tonnes"
"China, Hong Kong Special Administrative Region","1995","97066","","tonnes"
"Colombia","2012","260814.15625","9","tonnes"
"Colombia","2011","200778.984375","9","tonnes"
"Colombia","2010","149395.28125","9","tonnes"
"Colombia","2009","156190.890625","9","tonnes"
"Colombia","2008","104307.5234375","9","tonnes"
"Colombia","2007","84253.5234375","10,9","tonnes"
"Croatia","2014","66055","","tonnes"
"Croatia","2012","73404","","tonnes"
"Croatia","2011","64239","","tonnes"
"Croatia","2010","68554","","tonnes"
"Croatia","2008","18364","","tonnes"
"Croatia","2006","623383","","tonnes"
"Croatia","2005","26281.80078125","","tonnes"
"Croatia","2004","42636","","tonnes"
"Croatia","2003","25190.900390625","","tonnes"
"Cuba","2012","230469","","tonnes"
"Cuba","2011","488662","","tonnes"
"Cyprus","2014","161446","","tonnes"
"Cyprus","2012","24201","","tonnes"
"Cyprus","2010","30779","","tonnes"
"Cyprus","2008","23290","","tonnes"
"Cyprus","2006","16651","","tonnes"
"Cyprus","2004","65047","","tonnes"
"Cyprus","1997","46490","","tonnes"
"Cyprus","1996","48640","","tonnes"
"Czechia","2014","597309","","tonnes"
"Czechia","2012","753402","","tonnes"
"Czechia","2010","831600","","tonnes"
"Czechia","2008","834798","","tonnes"
"Czechia","2006","572497","","tonnes"
"Czechia","2004","648497","","tonnes"
"Czechia","2001","2812000","","tonnes"
"Czechia","2000","2629000","","tonnes"
"Czechia","1999","2391000","","tonnes"
"Czechia","1998","3414000","","tonnes"
"Denmark","2014","1819120","","tonnes"
"Denmark","2012","977663","","tonnes"
"Denmark","2010","1073218","","tonnes"
"Denmark","2008","416095","","tonnes"
"Denmark","2006","375562","","tonnes"
"Denmark","2004","338334","","tonnes"
"Denmark","2000","287000","","tonnes"
"Denmark","1999","347000","","tonnes"
"Denmark","1998","281000","","tonnes"
"Denmark","1997","252000","","tonnes"
"Denmark","1996","263000","","tonnes"
"Denmark","1995","252000","","tonnes"
"El Salvador","2013","5.8600001335144","","tonnes"
"El Salvador","2012","1.89999997615814","","tonnes"
"El Salvador","2010","42.7000007629395","","tonnes"
"Estonia","2014","10315094","","tonnes"
"Estonia","2012","9131275","","tonnes"
"Estonia","2010","8928558","","tonnes"
"Estonia","2008","7708801","","tonnes"
"Estonia","2006","6864430","","tonnes"
"Estonia","2004","7180381","","tonnes"
"Estonia","2000","5953150","","tonnes"
"Estonia","1999","5845250","","tonnes"
"Estonia","1998","6250050","","tonnes"
"Finland","2014","1915719","","tonnes"
"Finland","2012","1411308","","tonnes"
"Finland","2010","1365767","","tonnes"
"Finland","2008","2178038","","tonnes"
"Finland","2006","2172452","","tonnes"
"Finland","2004","2229060","","tonnes"
"France","2014","8205907","","tonnes"
"France","2012","8841003","","tonnes"
"France","2010","8533645","","tonnes"
"France","2008","6853136","","tonnes"
"France","2006","6689820","","tonnes"
"France","2004","6772000","","tonnes"
"French Guiana","2013","1104","11","tonnes"
"French Guiana","2008","111","12","tonnes"
"French Guiana","2007","76","12","tonnes"
"Germany","2014","20521108","","tonnes"
"Germany","2012","21098396","","tonnes"
"Germany","2010","19046940","","tonnes"
"Germany","2008","23823844","","tonnes"
"Germany","2006","21743228","","tonnes"
"Germany","2004","20556732","","tonnes"
"Greece","2014","115015","","tonnes"
"Greece","2012","108104","","tonnes"
"Greece","2010","108202","","tonnes"
"Greece","2008","157014","","tonnes"
"Greece","2006","186785","","tonnes"
"Greece","2004","292650","","tonnes"
"Guadeloupe","2013","19569","11","tonnes"
"Guadeloupe","2008","9048","12","tonnes"
"Guadeloupe","2007","4385","12","tonnes"
"Guatemala","2012","6324.89990234375","","tonnes"
"Guatemala","2011","10204","","tonnes"
"Guatemala","2010","304970","","tonnes"
"Guatemala","2009","3600","","tonnes"
"Guatemala","2008","917","","tonnes"
"Guatemala","2007","846","","tonnes"
"Guatemala","2006","709","","tonnes"
"Guatemala","2005","732","","tonnes"
"Guatemala","2004","833","","tonnes"
"Guatemala","2003","376","","tonnes"
"Guatemala","2002","0","","tonnes"
"Guatemala","2001","0","","tonnes"
"Hungary","2014","401517","","tonnes"
"Hungary","2012","376811","","tonnes"
"Hungary","2010","373999","","tonnes"
"Hungary","2008","449610","","tonnes"
"Hungary","2006","1179859","","tonnes"
"Hungary","2004","325032","","tonnes"
"Iceland","2012","11639","","tonnes"
"Iceland","2010","7926","","tonnes"
"Iceland","2008","135100","","tonnes"
"Iceland","2004","11000","","tonnes"
"Iceland","2001","6000","","tonnes"
"Iceland","2000","6000","","tonnes"
"Iceland","1999","6000","","tonnes"
"Iceland","1998","6000","","tonnes"
"Iceland","1997","6000","","tonnes"
"Iceland","1996","6000","","tonnes"
"Iceland","1995","5000","","tonnes"
"Iraq","2015","20622","","tonnes"
"Iraq","2010","15546","","tonnes"
"Ireland","2012","69111","","tonnes"
"Ireland","2010","266742","","tonnes"
"Ireland","2008","192782","","tonnes"
"Ireland","2006","190951","","tonnes"
