"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","tonnes"
"Andorra","2014","0","","tonnes"
"Andorra","2013","0","","tonnes"
"Armenia","2012","0","","tonnes"
"Armenia","2011","0","","tonnes"
"Armenia","2010","0","","tonnes"
"Armenia","2009","0","","tonnes"
"Armenia","2008","0","","tonnes"
"Armenia","2007","0","","tonnes"
"Armenia","2006","0","","tonnes"
"Armenia","2005","0","","tonnes"
"Armenia","2004","0","","tonnes"
"Armenia","2003","0","","tonnes"
"Armenia","2002","0","","tonnes"
"Armenia","2001","0","","tonnes"
"Armenia","2000","0","","tonnes"
"Armenia","1999","0","","tonnes"
"Austria","2014","163911","","tonnes"
"Austria","2012","86393","","tonnes"
"Austria","2010","196956","","tonnes"
"Azerbaijan","2012","6316.60009765625","","tonnes"
"Azerbaijan","2011","3619.10009765625","","tonnes"
"Azerbaijan","2010","5548.2001953125","","tonnes"
"Azerbaijan","2009","18739.099609375","","tonnes"
"Azerbaijan","2008","4741","","tonnes"
"Azerbaijan","2007","4926","","tonnes"
"Azerbaijan","2006","3263","","tonnes"
"Azerbaijan","2005","4911","","tonnes"
"Azerbaijan","2004","3836","","tonnes"
"Azerbaijan","2003","1359","","tonnes"
"Azerbaijan","2002","728","","tonnes"
"Azerbaijan","2001","395","","tonnes"
"Belarus","2010","465636","","tonnes"
"Belarus","2009","554800","","tonnes"
"Belarus","2008","552563","","tonnes"
"Belarus","2007","211231","","tonnes"
"Belarus","2006","133984","","tonnes"
"Belarus","2005","100741","","tonnes"
"Belarus","2004","54684","1","tonnes"
"Belarus","2003","23815","1","tonnes"
"Belarus","2002","17412","1","tonnes"
"Belarus","2001","14167","1","tonnes"
"Belgium","2014","840712","","tonnes"
"Belgium","2012","879833","","tonnes"
"Belgium","2010","12610402","","tonnes"
"Bermuda","2012","362","","tonnes"
"Bermuda","2011","352","","tonnes"
"Bermuda","2010","365","","tonnes"
"Bermuda","2009","370","","tonnes"
"Bermuda","2008","374","","tonnes"
"Bermuda","2007","373","","tonnes"
"Bermuda","2006","539","","tonnes"
"Bulgaria","2014","151901","","tonnes"
"Bulgaria","2012","61337","","tonnes"
"Bulgaria","2010","58195","","tonnes"
"Bulgaria","2000","0","","tonnes"
"Bulgaria","1999","0","","tonnes"
"Bulgaria","1998","0","","tonnes"
"Bulgaria","1997","0","","tonnes"
"Bulgaria","1996","0","","tonnes"
"Bulgaria","1995","0","","tonnes"
"Bulgaria","1990","0","","tonnes"
"Cameroon","2009","434.399993896484","","tonnes"
"Cameroon","2008","365.299987792969","","tonnes"
"Cameroon","2007","410.799987792969","","tonnes"
"Cameroon","2006","357.799987792969","","tonnes"
"Cameroon","2005","14.3000001907349","","tonnes"
"Cameroon","2004","206.300003051758","","tonnes"
"Canada","1996","181000","2","tonnes"
"Chile","2009","9800","","tonnes"
"Chile","2008","5310","","tonnes"
"Chile","2007","3710","","tonnes"
"Chile","2006","6070","","tonnes"
"Chile","2005","3350","","tonnes"
"Chile","2004","6130","","tonnes"
"Chile","2003","5550","","tonnes"
"Chile","2002","5190","","tonnes"
"Chile","2001","5360","","tonnes"
"Chile","2000","8560","","tonnes"
"China, Hong Kong Special Administrative Region","2009","8396","3","tonnes"
"China, Hong Kong Special Administrative Region","2008","7381","3","tonnes"
"China, Hong Kong Special Administrative Region","2007","9118","3","tonnes"
"China, Hong Kong Special Administrative Region","2006","4882","3","tonnes"
"China, Hong Kong Special Administrative Region","2005","4234","3","tonnes"
"China, Hong Kong Special Administrative Region","2004","3154","3","tonnes"
"China, Hong Kong Special Administrative Region","2003","5116","3","tonnes"
"China, Hong Kong Special Administrative Region","2002","2969","3","tonnes"
"China, Hong Kong Special Administrative Region","2001","3547","3","tonnes"
"China, Hong Kong Special Administrative Region","2000","3258","3","tonnes"
"China, Hong Kong Special Administrative Region","1999","3718","3","tonnes"
"China, Hong Kong Special Administrative Region","1998","3623","3","tonnes"
"China, Hong Kong Special Administrative Region","1997","3704","3","tonnes"
"China, Hong Kong Special Administrative Region","1996","5754","3","tonnes"
"China, Hong Kong Special Administrative Region","1995","1101","3","tonnes"
"Colombia","2012","48091.71484375","4","tonnes"
"Colombia","2011","43792.0703125","4","tonnes"
"Colombia","2010","34571.0703125","4","tonnes"
"Colombia","2009","37075.78125","4","tonnes"
"Colombia","2008","35489.08203125","4","tonnes"
"Colombia","2007","22804.328125","5,4","tonnes"
"Croatia","2014","44649","","tonnes"
"Croatia","2012","54660","","tonnes"
"Croatia","2011","51536","","tonnes"
"Croatia","2010","26371","","tonnes"
"Cuba","2012","5582","","tonnes"
"Cuba","2011","6956","","tonnes"
"Cyprus","2014","18755","","tonnes"
"Cyprus","2012","18533","","tonnes"
"Cyprus","2010","14552","","tonnes"
"Czechia","2014","222970","","tonnes"
"Czechia","2012","356786","","tonnes"
"Czechia","2010","391266","","tonnes"
"Czechia","2001","60000","","tonnes"
"Czechia","2000","47000","","tonnes"
"Czechia","1999","28000","","tonnes"
"Czechia","1998","49000","","tonnes"
"Denmark","2014","409697","","tonnes"
"Denmark","2012","324561","","tonnes"
"Denmark","2010","237150","","tonnes"
"Denmark","2000","86000","","tonnes"
"Denmark","1999","115000","","tonnes"
"Denmark","1998","68000","","tonnes"
"Denmark","1997","62000","","tonnes"
"Denmark","1996","59000","","tonnes"
"Denmark","1995","55000","","tonnes"
"Estonia","2014","1316434","","tonnes"
"Estonia","2012","1568605","","tonnes"
"Estonia","2010","933398","","tonnes"
"Estonia","2000","58880","","tonnes"
"Finland","2014","169314","","tonnes"
"Finland","2012","285278","","tonnes"
"Finland","2010","286443","","tonnes"
"Finland","2000","66000","","tonnes"
"Finland","1997","19000","","tonnes"
"France","2014","2671921","","tonnes"
"France","2012","3475951","","tonnes"
"France","2010","3415081","","tonnes"
"France","1998","222000","","tonnes"
"France","1997","209000","","tonnes"
"France","1996","171000","","tonnes"
"France","1995","172000","","tonnes"
"French Guiana","2013","768","","tonnes"
"French Guiana","2008","1","6","tonnes"
"Georgia","2005","0","","tonnes"
"Georgia","2004","0","","tonnes"
"Georgia","2003","0","","tonnes"
"Georgia","2002","0","","tonnes"
"Georgia","2001","0","","tonnes"
"Georgia","2000","0","","tonnes"
"Georgia","1999","0","","tonnes"
"Georgia","1995","0","","tonnes"
"Georgia","1990","0","","tonnes"
"Germany","2014","9641160","","tonnes"
"Germany","2012","9687326","","tonnes"
"Germany","2010","9500261","","tonnes"
"Germany","1999","2247100","","tonnes"
"Germany","1998","2449800","","tonnes"
"Germany","1997","2242000","","tonnes"
"Germany","1996","2903400","","tonnes"
"Greece","2014","89564","","tonnes"
"Greece","2012","84931","","tonnes"
"Greece","2010","88500","","tonnes"
"Greece","2000","95000","","tonnes"
"Greece","1999","84000","","tonnes"
"Greece","1998","106000","","tonnes"
"Guadeloupe","2013","18880","","tonnes"
"Guatemala","2012","6320.89990234375","","tonnes"
"Guatemala","2011","10200","","tonnes"
"Guatemala","2010","3620","","tonnes"
"Guatemala","2009","3600","","tonnes"
"Hungary","2014","213232","","tonnes"
"Hungary","2012","124456","","tonnes"
"Hungary","2010","191809","","tonnes"
"Iceland","2012","10749","","tonnes"
"Iceland","2010","6352","","tonnes"
"India","2000","1429281","","tonnes"
"Iraq","2015","0","","tonnes"
"Iraq","2010","0","","tonnes"
"Ireland","2012","22364","","tonnes"
"Ireland","2010","143043","","tonnes"
"Ireland","1998","115000","","tonnes"
"Israel","2008","108000","","tonnes"
"Israel","2007","121200","","tonnes"
"Israel","2006","99100","","tonnes"
"Israel","2005","113000","","tonnes"
"Israel","2004","95000","","tonnes"
"Israel","2003","86000","","tonnes"
"Israel","2002","154000","","tonnes"
"Israel","2001","178200","","tonnes"
"Israel","2000","158300","","tonnes"
"Italy","2014","1821805","","tonnes"
"Italy","2012","1636793","","tonnes"
"Italy","2010","1866212","","tonnes"
"Italy","1998","666110","","tonnes"
"Italy","1997","629000","","tonnes"
"Jamaica","1996","0","","tonnes"
"Jordan","2011","323917.3125","","tonnes"
"Jordan","2010","51401.80078125","","tonnes"
"Jordan","2009","98345.203125","","tonnes"
"Jordan","2008","17152.26171875","","tonnes"
"Jordan","2004","0","","tonnes"
"Jordan","2003","40244.6015625","","tonnes"
"Kyrgyzstan","2012","184.100006103516","","tonnes"
"Kyrgyzstan","2011","33003.1015625","","tonnes"
"Kyrgyzstan","2010","172.899993896484","","tonnes"
"Kyrgyzstan","2009","19342756","","tonnes"
"Kyrgyzstan","2008","3006","","tonnes"
"Kyrgyzstan","2007","7909705","","tonnes"
"Kyrgyzstan","2006","1258","","tonnes"
"Kyrgyzstan","2005","1555","","tonnes"
"Kyrgyzstan","2004","307","","tonnes"
"Kyrgyzstan","2003","5327","","tonnes"
"Kyrgyzstan","2002","39","","tonnes"
"Kyrgyzstan","2001","35","","tonnes"
"Kyrgyzstan","2000","4011426","","tonnes"
"Kyrgyzstan","1999","275","","tonnes"
"Kyrgyzstan","1998","32","","tonnes"
"Kyrgyzstan","1997","1477107","","tonnes"
"Kyrgyzstan","1996","191","","tonnes"
"Kyrgyzstan","1995","339","","tonnes"
"Latvia","2014","24564","","tonnes"
"Latvia","2012","35678","","tonnes"
"Latvia","2010","44942","","tonnes"
"Latvia","2000","0","","tonnes"
"Latvia","1999","0","","tonnes"
"Latvia","1998","0","","tonnes"
"Latvia","1997","0","","tonnes"
"Latvia","1996","0","","tonnes"
"Latvia","1995","0","","tonnes"
"Latvia","1990","0","","tonnes"
"Lithuania","2014","35181","","tonnes"
"Lithuania","2012","45540","","tonnes"
"Lithuania","2010","42850","","tonnes"
"Lithuania","2000","0","","tonnes"
"Lithuania","1999","0","","tonnes"
"Lithuania","1998","0","","tonnes"
"Lithuania","1997","0","","tonnes"
"Lithuania","1996","0","","tonnes"
"Lithuania","1995","0","","tonnes"
"Lithuania","1990","0","","tonnes"
"Luxembourg","2014","2644","","tonnes"
"Luxembourg","2012","1640","","tonnes"
"Luxembourg","2010","2941","","tonnes"
"Luxembourg","2000","68400","","tonnes"
"Luxembourg","1999","72220","","tonnes"
"Luxembourg","1998","31490","","tonnes"
"Luxembourg","1997","42510","","tonnes"
"Madagascar","2007","0","","tonnes"
"Madagascar","2005","0","","tonnes"
"Madagascar","2002","0","","tonnes"
"Madagascar","1999","0","","tonnes"
"Malaysia","2015","452956.75","7","tonnes"
"Malaysia","2014","649496.6875","7","tonnes"
"Malaysia","2013","633929.5","7","tonnes"
"Malaysia","2012","678477.75","7","tonnes"
"Malaysia","2011","939730.8125","7","tonnes"
"Malaysia","2010","877489.375","7","tonnes"
"Malaysia","2009","686011.9375","7","tonnes"
"Malaysia","2008","624361.125","7","tonnes"
"Malaysia","2007","355471.1875","7","tonnes"
"Malaysia","2006","297001.40625","7","tonnes"
"Malaysia","2005","149569.984375","7","tonnes"
"Malaysia","2004","272419.59375","7","tonnes"
"Malaysia","2003","250260.453125","7","tonnes"
"Malaysia","2002","204666","7","tonnes"
