"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","42.9000015258789","1","1000 cubic metres/day"
"Albania","2014","42.0999984741211","1","1000 cubic metres/day"
"Algeria","2015","2387","","1000 cubic metres/day"
"Algeria","2014","1806","","1000 cubic metres/day"
"Algeria","2013","1563","","1000 cubic metres/day"
"Andorra","2015","0","","1000 cubic metres/day"
"Andorra","2014","0","","1000 cubic metres/day"
"Andorra","2013","0","","1000 cubic metres/day"
"Andorra","2012","0","","1000 cubic metres/day"
"Andorra","2011","0","","1000 cubic metres/day"
"Andorra","2010","2.51849579811096","","1000 cubic metres/day"
"Andorra","2009","0.00990136992186308","","1000 cubic metres/day"
"Andorra","2008","5.8665189743042","","1000 cubic metres/day"
"Andorra","2007","11.8350419998169","","1000 cubic metres/day"
"Andorra","2006","13.6516246795654","","1000 cubic metres/day"
"Andorra","2005","38.039363861084","","1000 cubic metres/day"
"Andorra","2004","35.1734619140625","","1000 cubic metres/day"
"Andorra","2003","31.4152870178223","","1000 cubic metres/day"
"Andorra","2002","32.2954330444336","","1000 cubic metres/day"
"Andorra","2001","34.828685760498","","1000 cubic metres/day"
"Andorra","2000","34.549690246582","","1000 cubic metres/day"
"Andorra","1999","34.6233177185059","","1000 cubic metres/day"
"Andorra","1998","35.0701370239258","","1000 cubic metres/day"
"Armenia","2015","362","","1000 cubic metres/day"
"Armenia","2014","292","","1000 cubic metres/day"
"Armenia","2013","178","","1000 cubic metres/day"
"Armenia","2012","841","","1000 cubic metres/day"
"Armenia","2011","677","","1000 cubic metres/day"
"Armenia","2010","519","","1000 cubic metres/day"
"Armenia","2009","243","","1000 cubic metres/day"
"Armenia","2008","241","","1000 cubic metres/day"
"Armenia","2007","249","","1000 cubic metres/day"
"Armenia","2006","411","","1000 cubic metres/day"
"Armenia","2005","279","","1000 cubic metres/day"
"Armenia","2004","379","","1000 cubic metres/day"
"Armenia","2003","486","","1000 cubic metres/day"
"Armenia","2002","249","","1000 cubic metres/day"
"Armenia","2001","257","","1000 cubic metres/day"
"Armenia","2000","649","","1000 cubic metres/day"
"Armenia","1999","581","","1000 cubic metres/day"
"Armenia","1998","822","","1000 cubic metres/day"
"Armenia","1997","767","","1000 cubic metres/day"
"Armenia","1996","756","","1000 cubic metres/day"
"Armenia","1995","805","","1000 cubic metres/day"
