"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","8","","%"
"Albania","2014","7","","%"
"Albania","2012","22","","%"
"Albania","2009","7.30000019073486","","%"
"Albania","2008","7.30000019073486","","%"
"Albania","2007","5.59999990463257","","%"
"Albania","2006","0.800000011920929","","%"
"Albania","2005","0.800000011920929","","%"
"Algeria","2015","65","","%"
"Algeria","2014","65","","%"
"Algeria","2013","65","","%"
"Algeria","2012","65","","%"
"Algeria","2011","61","","%"
"Algeria","2010","60","","%"
"Algeria","2009","56","","%"
"Algeria","2008","53","","%"
"Algeria","2007","48","","%"
"Algeria","2006","45","","%"
"Algeria","2005","39","","%"
"Algeria","2004","39","","%"
"Algeria","2003","32","","%"
"Algeria","2002","32","","%"
"Algeria","2001","30","","%"
"Algeria","2000","30","","%"
"Andorra","2015","100","","%"
"Andorra","2014","100","","%"
"Andorra","2013","100","","%"
"Andorra","2012","100","","%"
"Andorra","2011","100","","%"
"Andorra","2010","98","","%"
"Andorra","2009","98","","%"
"Andorra","2008","98","","%"
"Andorra","2007","98","","%"
"Andorra","2006","86.4000015258789","1","%"
"Andorra","2005","47.7000007629395","2","%"
"Andorra","2004","31.1000003814697","","%"
"Andorra","2003","19.6000003814697","","%"
"Andorra","2002","17.0799999237061","","%"
"Andorra","2001","3.5","","%"
"Andorra","2000","3.61999988555908","","%"
"Andorra","1999","3.74000000953674","","%"
"Angola","2011","17.7999992370605","","%"
"Argentina","2010","50.2099990844727","","%"
"Argentina","2001","42.5","","%"
"Armenia","2015","60.6114540100098","","%"
"Armenia","2014","59.4460411071777","","%"
"Armenia","2013","59.0092926025391","","%"
"Armenia","2012","55.5375709533691","","%"
"Armenia","2011","55.4020957946777","","%"
"Armenia","2010","55.1963157653809","","%"
"Armenia","2009","54.9379539489746","","%"
"Armenia","2008","54.6919479370117","","%"
"Armenia","2007","54.443717956543","","%"
"Armenia","2006","54.2429695129395","","%"
"Armenia","2005","54.0582160949707","","%"
"Armenia","2004","53.8681526184082","","%"
"Armenia","2003","53.6969947814941","","%"
"Armenia","2002","53.489501953125","","%"
"Armenia","2001","53.0225868225098","","%"
"Armenia","2000","52.7841453552246","","%"
"Armenia","1999","52.4556732177734","","%"
"Armenia","1998","52.0800018310547","","%"
"Armenia","1997","51.821159362793","","%"
"Armenia","1996","51.4449005126953","","%"
"Armenia","1995","50.1989135742188","","%"
"Armenia","1990","63.9000015258789","","%"
"Austria","2014","100","","%"
"Austria","2012","100","","%"
"Austria","2010","100","","%"
"Austria","2008","100","","%"
"Austria","2006","100","","%"
"Austria","2004","100","","%"
"Austria","2003","100","","%"
"Austria","2002","100","","%"
"Austria","2001","100","","%"
"Austria","2000","100","","%"
"Austria","1998","99","","%"
"Austria","1995","98","","%"
"Austria","1990","100","","%"
"Azerbaijan","2015","18.8999996185303","","%"
"Azerbaijan","2014","18.5","","%"
"Azerbaijan","2013","18.3999996185303","","%"
"Azerbaijan","2012","14.3999996185303","","%"
"Azerbaijan","2011","14.1000003814697","","%"
"Azerbaijan","2010","14.1000003814697","","%"
"Azerbaijan","2009","14.1000003814697","","%"
"Azerbaijan","2008","13.8000001907349","","%"
"Azerbaijan","2007","13.8999996185303","","%"
"Azerbaijan","2006","13.6000003814697","","%"
"Azerbaijan","2005","13.6000003814697","","%"
"Azerbaijan","2004","13.5","","%"
"Azerbaijan","2003","13.1000003814697","","%"
"Bahrain","2015","88","","%"
"Bahrain","2014","90","","%"
"Bahrain","2013","87","","%"
"Bahrain","2012","87","","%"
"Bahrain","2011","88","","%"
"Bahrain","2010","81","","%"
"Bahrain","2009","77","","%"
"Bahrain","2008","65","","%"
"Bahrain","2007","66","","%"
"Bahrain","2006","67","","%"
"Bahrain","2005","70","","%"
"Bahrain","2004","71","","%"
"Bahrain","2003","79","","%"
"Bahrain","2002","77","","%"
"Bahrain","2001","75","","%"
"Bahrain","2000","74","","%"
"Bahrain","1999","71","","%"
"Bahrain","1998","69","","%"
"Bahrain","1997","66","","%"
"Bahrain","1996","65","","%"
"Bahrain","1995","64","","%"
"Bahrain","1990","58","","%"
"Bangladesh","2015","2.9300000667572","3","%"
"Belgium","2013","95.5500030517578","","%"
"Belgium","2012","94.3499984741211","","%"
"Belgium","2011","97.1100006103516","","%"
"Belgium","2010","95.9199981689453","","%"
"Belgium","2009","96.6999969482422","","%"
"Belgium","2008","95.5999984741211","","%"
"Belgium","2007","97.1999969482422","","%"
"Belgium","2006","88","","%"
"Belgium","2005","74","","%"
"Belgium","2004","72.9000015258789","","%"
"Belgium","2003","71.6999969482422","","%"
"Belgium","2002","68.9000015258789","","%"
"Belgium","2001","68.5999984741211","","%"
"Belgium","2000","65","","%"
"Belgium","1999","56","","%"
"Belgium","1998","55","","%"
"Belgium","1997","53","","%"
"Belgium","1996","49","","%"
"Belgium","1995","39.7999992370605","","%"
"Belize","2010","10.5649995803833","","%"
"Belize","2000","15.1000003814697","","%"
"Bosnia and Herzegovina","2015","3.57999992370605","4","%"
"Bosnia and Herzegovina","2014","3.57999992370605","4","%"
"Bosnia and Herzegovina","2013","3.57999992370605","4","%"
"Bosnia and Herzegovina","2012","3.5699999332428","4","%"
"Bosnia and Herzegovina","2011","3.1800000667572","4","%"
"Bosnia and Herzegovina","2010","3.03999996185303","4","%"
"Bosnia and Herzegovina","2009","2.77999997138977","4","%"
"Bosnia and Herzegovina","2008","2.78999996185303","4","%"
"Bosnia and Herzegovina","2007","2.16000008583069","4","%"
"Bosnia and Herzegovina","2006","2.16000008583069","4","%"
"Bosnia and Herzegovina","2005","2.16000008583069","4","%"
"Bosnia and Herzegovina","2004","2.16000008583069","4","%"
"Bosnia and Herzegovina","2003","2.16000008583069","4","%"
"Bosnia and Herzegovina","2002","2.01999998092651","4","%"
"Bosnia and Herzegovina","2001","2.01999998092651","4","%"
"Bosnia and Herzegovina","2000","2.01999998092651","4","%"
"British Virgin Islands","2001","24.5","","%"
"British Virgin Islands","1991","17.1000003814697","","%"
"Brunei Darussalam","2011","40","","%"
"Brunei Darussalam","2004","38","","%"
"Bulgaria","2015","86.8000030517578","","%"
"Bulgaria","2014","81.879997253418","","%"
"Bulgaria","2013","81.7399978637695","","%"
"Bulgaria","2012","81.7399978637695","","%"
"Bulgaria","2011","81.7099990844727","","%"
"Bulgaria","2010","77.129997253418","","%"
"Bulgaria","2009","74.9000015258789","","%"
"Bulgaria","2008","74","","%"
"Bulgaria","2007","72.5999984741211","","%"
"Bulgaria","2006","72","","%"
"Bulgaria","2005","71.8000030517578","","%"
"Bulgaria","2004","71.8000030517578","","%"
"Bulgaria","2003","71.5","","%"
"Bulgaria","2002","70.5","","%"
"Bulgaria","2001","70.5","","%"
"Bulgaria","2000","70.1999969482422","","%"
"Bulgaria","1995","69.5999984741211","","%"
"Burundi","2015","4.5","5,6","%"
"Burundi","2014","4.5","5,6","%"
"Burundi","2013","4.5","5,6","%"
"Burundi","2012","4","5,6","%"
"Burundi","2011","4","5,6","%"
"Cabo Verde","2015","20.8999996185303","7","%"
"Cabo Verde","2014","19.7999992370605","7","%"
"Cabo Verde","2013","20.7000007629395","7","%"
"Cabo Verde","2012","19.5","7","%"
"Cabo Verde","2010","17.2999992370605","7","%"
"Canada","2009","84.3099975585938","8","%"
"Canada","2006","86.4000015258789","","%"
"Canada","2004","87.2200012207031","","%"
"Canada","1999","71.6999969482422","9","%"
"Canada","1996","69.8000030517578","9","%"
"Canada","1994","67.5","9","%"
"Canada","1991","62.4000015258789","9","%"
"Chile","2015","99.8499984741211","","%"
"Chile","2014","99.9300003051758","","%"
"Chile","2013","99.9300003051758","","%"
"Chile","2012","100","","%"
"Chile","2011","90.5878982543945","9","%"
"Chile","2010","86.9302978515625","9","%"
"Chile","2009","83.3000030517578","9","%"
"Chile","2008","82.5999984741211","9","%"
"Chile","2007","82.3000030517578","9","%"
"Chile","2006","82","9","%"
"Chile","2005","73.3000030517578","9","%"
"Chile","2004","71.5999984741211","9","%"
"Chile","2003","65.6999969482422","","%"
"Chile","2002","42.2000007629395","","%"
"Chile","2001","39.4000015258789","","%"
"Chile","2000","20.8999996185303","","%"
"China","2004","32.5499992370605","","%"
"China","2003","27.4799995422363","","%"
"China","2002","24.2800006866455","","%"
"China","2001","20.8099994659424","","%"
"China, Hong Kong Special Administrative Region","2015","93.5","","%"
"China, Hong Kong Special Administrative Region","2014","93.0999984741211","","%"
"China, Hong Kong Special Administrative Region","2013","93.4000015258789","","%"
"China, Hong Kong Special Administrative Region","2012","93.3000030517578","","%"
"China, Hong Kong Special Administrative Region","2011","93.6999969482422","","%"
"China, Hong Kong Special Administrative Region","2010","93.5999984741211","","%"
"China, Hong Kong Special Administrative Region","2009","93.2300033569336","","%"
"China, Hong Kong Special Administrative Region","2008","93.2600021362305","","%"
"China, Hong Kong Special Administrative Region","2007","93.2200012207031","","%"
"China, Hong Kong Special Administrative Region","2006","93.1699981689453","","%"
"China, Hong Kong Special Administrative Region","2005","92.9300003051758","","%"
"China, Hong Kong Special Administrative Region","2004","92.3300018310547","","%"
"China, Hong Kong Special Administrative Region","2003","94.6100006103516","","%"
"China, Hong Kong Special Administrative Region","2002","94.1999969482422","","%"
"China, Hong Kong Special Administrative Region","2001","94.8300018310547","","%"
"China, Hong Kong Special Administrative Region","2000","92.7200012207031","","%"
"China, Hong Kong Special Administrative Region","1999","91.2600021362305","","%"
"Colombia","2014","91.3000030517578","","%"
"Colombia","2013","91.1999969482422","","%"
"Colombia","2012","91.1999969482422","","%"
"Colombia","2010","89.8000030517578","","%"
"Colombia","2009","89.6999969482422","","%"
"Colombia","2008","91.5","","%"
"Colombia","2007","90.8000030517578","","%"
"Colombia","2005","72.7099990844727","","%"
"Colombia","2004","71.3399963378906","","%"
"Colombia","2003","69.9700012207031","","%"
"Costa Rica","2015","11.6899995803833","10","%"
"Costa Rica","2014","8.26000022888184","10","%"
"Costa Rica","2013","8.26000022888184","10","%"
"Costa Rica","2012","8.26000022888184","10","%"
"Costa Rica","2011","8.26000022888184","10","%"
"Costa Rica","2010","8.26000022888184","10","%"
"Costa Rica","2009","8.26000022888184","10","%"
"Costa Rica","2008","8.26000022888184","10","%"
"Croatia","2015","98.3000030517578","","%"
"Croatia","2014","98.3000030517578","","%"
"Croatia","2013","98.3000030517578","","%"
"Croatia","2012","98.3000030517578","","%"
"Croatia","2011","98.3000030517578","","%"
"Croatia","2007","22","","%"
"Croatia","2006","8.89999961853027","","%"
"Croatia","2005","8.60000038146973","","%"
"Cuba","2015","24","","%"
"Cuba","2014","24","","%"
"Cuba","2013","24","","%"
"Cuba","2012","24","","%"
"Cuba","2011","24","","%"
"Cuba","2010","24","","%"
"Cuba","2009","24","","%"
"Cuba","2008","24","","%"
"Cuba","2007","24","","%"
"Cuba","2006","24","","%"
"Cuba","2005","24","","%"
"Cuba","2004","24","","%"
"Cyprus","2005","100","","%"
"Cyprus","2004","100","","%"
"Cyprus","2003","100","","%"
"Cyprus","2002","100","","%"
"Cyprus","2001","100","","%"
"Cyprus","2000","100","","%"
"Cyprus","1999","100","","%"
"Cyprus","1998","100","","%"
"Cyprus","1997","100","","%"
"Cyprus","1996","100","","%"
"Cyprus","1995","100","","%"
"Cyprus","1994","100","","%"
"Cyprus","1993","100","","%"
"Cyprus","1992","100","","%"
"Czechia","2015","81","","%"
"Czechia","2014","80.8000030517578","","%"
"Czechia","2013","80","9","%"
"Czechia","2012","78.0999984741211","9","%"
"Czechia","2011","80.5999984741211","","%"
"Czechia","2010","79.4000015258789","","%"
"Czechia","2009","78.3000030517578","","%"
"Czechia","2008","78","","%"
"Czechia","2007","75.5","","%"
"Czechia","2006","74.4000015258789","","%"
"Czechia","2005","75.4000015258789","","%"
"Czechia","2004","73.5","9","%"
"Czechia","2003","73.0999984741211","9","%"
"Czechia","2002","72.1999969482422","9","%"
"Czechia","2001","67.5","9","%"
"Czechia","2000","66.4000015258789","9","%"
"Denmark","2014","100","9","%"
"Denmark","2013","100","","%"
"Denmark","2012","100","","%"
"Denmark","2011","100.099998474121","","%"
"Denmark","2010","100.099998474121","","%"
"Denmark","2009","100","","%"
"Denmark","2000","100","","%"
"Dominica","2005","13","","%"
"Dominican Republic","2005","12","11","%"
"El Salvador","2012","2.82999992370605","","%"
"El Salvador","2011","2.83999991416931","","%"
"El Salvador","2010","2.82999992370605","","%"
"El Salvador","2009","2.84999990463257","","%"
"El Salvador","2008","2.86999988555908","","%"
"El Salvador","2007","3.07999992370605","","%"
"Estonia","2014","87","9","%"
"Estonia","2013","87.1999969482422","9","%"
"Estonia","2012","86.8000030517578","","%"
"Estonia","2011","86.6999969482422","","%"
"Estonia","2010","86.5","","%"
"Estonia","2009","85","","%"
"Estonia","2008","85","","%"
"Estonia","2007","84","","%"
"Estonia","2006","79","","%"
"Estonia","2005","79","","%"
"Estonia","2004","74","","%"
"Estonia","2003","73","","%"
"Estonia","2002","70","9","%"
"Estonia","2001","70","9","%"
"Estonia","2000","70","9","%"
"Finland","2013","100","","%"
"Finland","2012","100","","%"
"Finland","2011","100","","%"
"Finland","2010","100","","%"
"Finland","2002","100","9","%"
"Finland","2001","100","9","%"
"Finland","2000","100","9","%"
"France","2014","100.099998474121","","%"
"France","2013","100.099998474121","","%"
"France","2012","100","","%"
"France","2011","100","","%"
"France","2010","100","","%"
"France","2004","95.8000030517578","9","%"
"France","2001","95.5999984741211","9","%"
"French Guiana","2012","68","","%"
"French Guiana","2004","44","","%"
"French Guiana","2001","27.7999992370605","","%"
"French Guiana","1998","0","","%"
"French Polynesia","2013","8","","%"
"French Polynesia","2005","5","","%"
"Germany","2013","99.9940032958984","","%"
"Germany","2012","99.9869995117188","9","%"
"Germany","2011","99.9800033569336","9","%"
"Germany","2010","99.9710006713867","","%"
"Germany","2007","99.9000015258789","","%"
"Germany","2005","97.3000030517578","","%"
"Germany","2004","97.9000015258789","","%"
"Germany","2001","97.4000015258789","","%"
"Germany","1995","88.5999984741211","","%"
"Germany","1991","87.0999984741211","","%"
"Greece","2014","92.8300018310547","","%"
"Greece","2013","92.8300018310547","","%"
"Greece","2011","88.0999984741211","","%"
"Greece","2010","87.3000030517578","","%"
"Greece","2009","87.3000030517578","","%"
"Greece","2007","85","","%"
"Guadeloupe","2012","73","","%"
"Guadeloupe","2004","38.9000015258789","","%"
"Guadeloupe","2001","40.0999984741211","","%"
"Guinea","2009","11","12","%"
"Guinea","2008","11","12","%"
"Guinea","2007","10","12","%"
"Guinea","2006","10","12","%"
"Guinea","2005","10","12","%"
"Guyana","2009","0","","%"
"Guyana","2008","0","","%"
"Guyana","2007","0","","%"
"Guyana","2006","0","","%"
"Guyana","2005","0","","%"
"Guyana","2004","0","","%"
"Guyana","2003","0","","%"
"Guyana","2002","0","","%"
"Guyana","2001","0","","%"
"Guyana","2000","0","","%"
"Guyana","1995","0","","%"
"Guyana","1990","0","","%"
"Hungary","2015","76.8130035400391","","%"
"Hungary","2014","73.8079986572266","","%"
"Hungary","2013","72.7580032348633","","%"
"Hungary","2012","72.9400024414063","","%"
"Hungary","2011","72.2590026855469","","%"
"Hungary","2010","71.7249984741211","","%"
"Hungary","2009","68.8000030517578","","%"
"Hungary","2008","67.6999969482422","","%"
"Hungary","2007","66.5","","%"
"Hungary","2006","63.4000015258789","","%"
"Hungary","2005","60.5999984741211","","%"
"Hungary","2004","72.0999984741211","9","%"
"Hungary","2003","70.0999984741211","9","%"
"Hungary","2002","66.1999969482422","9","%"
"Hungary","2001","66.0999984741211","9","%"
"Hungary","2000","63.7000007629395","9","%"
"Hungary","1999","45.9000015258789","9","%"
"Hungary","1998","43","9","%"
"Hungary","1997","41.5","9","%"
"Hungary","1996","40.2000007629395","9","%"
"Hungary","1995","39.0999984741211","9","%"
"Hungary","1994","39.9000015258789","9","%"
"Hungary","1993","39.2999992370605","9","%"
"Hungary","1992","35.2999992370605","9","%"
"Hungary","1990","39.4000015258789","9","%"
"Iceland","2010","73","","%"
"Iceland","2008","100","","%"
"Iceland","2005","96","","%"
"Iceland","2004","56","","%"
"Iceland","2003","56","","%"
"Iceland","2002","56","","%"
"Iceland","2001","39","","%"
"Iceland","2000","39","","%"
"Iceland","1999","22","","%"
"Iceland","1998","14","","%"
"Iceland","1997","10","","%"
"Iceland","1996","10","","%"
"Iceland","1995","10","","%"
"Iceland","1994","10","","%"
"Iceland","1993","6","","%"
"Iceland","1992","6","","%"
"Iceland","1991","6","","%"
"Iceland","1990","6","","%"
"Iraq","2015","27.1000003814697","","%"
"Iraq","2014","20.3999996185303","13","%"
"Iraq","2010","7","","%"
"Ireland","2014","97","9","%"
"Ireland","2013","97","9","%"
"Ireland","2011","96","9","%"
"Israel","2015","96.8000030517578","","%"
"Israel","2014","96.6999969482422","","%"
"Israel","2013","96.5999984741211","","%"
"Israel","2012","96.3000030517578","","%"
"Israel","2011","96","","%"
"Israel","2010","95.5","","%"
"Israel","2009","95","","%"
"Israel","2008","94.5","","%"
"Israel","2007","94.0999984741211","","%"
"Israel","2006","93.5","","%"
"Israel","2005","92.9000015258789","","%"
"Israel","2004","92.0999984741211","","%"
"Israel","2003","90.6999969482422","","%"
"Israel","2002","89.3000030517578","","%"
"Israel","2001","88","","%"
"Israel","2000","86.5999984741211","","%"
"Israel","1995","79.5","","%"
"Israel","1990","76.6999969482422","","%"
"Japan","2015","77.8000030517578","","%"
"Japan","2014","77.5999984741211","","%"
"Japan","2013","77","","%"
"Japan","2012","76.3000030517578","","%"
"Japan","2011","75.8000030517578","","%"
"Japan","2010","75.0999984741211","","%"
"Japan","2009","73.6999969482422","","%"
"Japan","2008","72.6999969482422","","%"
"Japan","2007","71.6999969482422","","%"
"Japan","2006","71","","%"
"Japan","2005","69.2564010620117","","%"
"Japan","2004","68.0697021484375","","%"
"Japan","2003","67","","%"
"Japan","2002","65","","%"
"Japan","2001","64","","%"
"Japan","2000","62","","%"
"Japan","1995","54","","%"
"Japan","1990","44","","%"
"Jordan","2015","62.0999984741211","","%"
"Jordan","2014","59.7000007629395","","%"
"Jordan","2013","59.7000007629395","","%"
"Jordan","2012","59.7000007629395","","%"
"Jordan","2011","67","","%"
"Jordan","2010","65","","%"
"Jordan","2009","63","","%"
"Jordan","2008","63","","%"
"Jordan","2007","62","","%"
"Jordan","2006","60","","%"
"Jordan","2005","59","","%"
"Kazakhstan","2015","57.0999984741211","","%"
"Kazakhstan","2014","62.7000007629395","","%"
"Kazakhstan","2013","59.5","","%"
"Kazakhstan","2012","59.5999984741211","","%"
"Kazakhstan","2011","60.2999992370605","","%"
"Kazakhstan","2010","51.5999984741211","","%"
"Kazakhstan","2009","51.5999984741211","","%"
"Kazakhstan","2008","52.2000007629395","","%"
"Kazakhstan","2007","45.5999984741211","","%"
"Kazakhstan","2006","54","","%"
"Kenya","2012","4.90000009536743","","%"
"Kenya","2011","4.90000009536743","","%"
"Kenya","2010","4.90000009536743","","%"
"Kenya","2009","4.90000009536743","","%"
"Kenya","2008","4.90000009536743","","%"
"Kenya","2007","4.90000009536743","","%"
"Kenya","2006","4.90000009536743","","%"
"Kenya","2005","4.90000009536743","","%"
"Kenya","2004","4.90000009536743","","%"
"Kenya","2003","4.90000009536743","","%"
"Kenya","2002","4.90000009536743","","%"
"Kenya","2001","4.90000009536743","","%"
"Kenya","2000","4.90000009536743","","%"
"Kenya","1999","4.90000009536743","","%"
"Kenya","1998","4.90000009536743","","%"
"Kenya","1997","4.90000009536743","","%"
"Kenya","1996","4.90000009536743","","%"
"Kenya","1995","4.90000009536743","","%"
"Kenya","1990","4.90000009536743","","%"
"Kuwait","2013","100","","%"
"Kuwait","2012","100","","%"
"Kuwait","2011","100","","%"
"Kuwait","2010","100","","%"
"Kuwait","2009","100","","%"
