"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","87","","%"
"Albania","2014","83","","%"
"Albania","2012","77","","%"
"Algeria","2015","90","","%"
"Algeria","2014","90","","%"
"Algeria","2013","90","","%"
"Algeria","2012","90","","%"
"Algeria","2011","87","","%"
"Algeria","2010","86","","%"
"Algeria","2009","79","","%"
"Algeria","2008","77.5","","%"
"Algeria","2007","74","","%"
"Algeria","2006","72","","%"
"Algeria","2005","72","","%"
"Algeria","2004","72","","%"
"Algeria","2003","71","","%"
"Algeria","2002","71","","%"
"Algeria","2001","71","","%"
"Algeria","2000","83","","%"
"Algeria","1998","66.3399963378906","","%"
"Algeria","1995","55.7299995422363","","%"
"Algeria","1990","48.3199996948242","","%"
"Andorra","2015","100","","%"
"Andorra","2014","100","","%"
"Andorra","2013","100","","%"
"Andorra","2012","100","","%"
"Andorra","2011","100","","%"
"Andorra","2010","100","","%"
"Andorra","2009","100","","%"
"Andorra","2008","100","","%"
"Andorra","2007","100","","%"
"Andorra","2006","100","","%"
"Andorra","2005","100","","%"
"Andorra","2004","100","","%"
"Andorra","2003","100","","%"
"Andorra","2002","100","","%"
"Andorra","2001","100","","%"
"Andorra","2000","100","","%"
"Andorra","1999","100","","%"
"Argentina","2010","50.2099990844727","","%"
"Argentina","2001","42.5","","%"
"Armenia","2015","69.9000015258789","","%"
"Armenia","2014","68.5","","%"
"Armenia","2013","69.6999969482422","","%"
"Armenia","2012","68","","%"
"Armenia","2011","69.5999984741211","","%"
"Armenia","2010","69.1999969482422","","%"
"Armenia","2009","69.0999984741211","","%"
"Armenia","2008","66.6999969482422","","%"
"Armenia","2007","67","","%"
"Armenia","2006","66.0999984741211","","%"
"Armenia","2005","65.0999984741211","","%"
"Armenia","2004","61.5999984741211","","%"
"Armenia","2003","60.2000007629395","","%"
"Armenia","2002","58.7999992370605","","%"
"Armenia","2001","62.7999992370605","","%"
"Armenia","2000","63.2999992370605","","%"
"Armenia","1999","63.5999984741211","","%"
"Armenia","1998","63.7000007629395","","%"
"Armenia","1997","64","","%"
"Armenia","1996","64.0999984741211","","%"
"Armenia","1995","65.6999969482422","","%"
"Armenia","1990","67.5999984741211","","%"
"Australia","2004","87","","%"
"Australia","2001","90","","%"
"Austria","2014","95","","%"
"Austria","2012","94.5","","%"
"Austria","2010","93.9000015258789","","%"
"Austria","2008","92.6999969482422","","%"
"Austria","2006","91.8000030517578","","%"
"Austria","2004","89","","%"
"Austria","2003","88.9000015258789","","%"
"Austria","2002","86","","%"
"Austria","2001","86","","%"
"Austria","2000","85.4000015258789","","%"
"Austria","1998","81","","%"
"Austria","1995","75.6999969482422","","%"
"Austria","1993","75.6999969482422","","%"
"Austria","1992","72","","%"
"Austria","1991","72","","%"
"Austria","1990","72","","%"
"Azerbaijan","2015","32.4000015258789","","%"
"Azerbaijan","2014","32.2999992370605","","%"
"Azerbaijan","2013","32.2000007629395","","%"
"Azerbaijan","2012","32.0999984741211","","%"
"Azerbaijan","2011","31.5","","%"
"Azerbaijan","2010","31.2999992370605","","%"
"Azerbaijan","2009","31.2999992370605","","%"
"Azerbaijan","2008","30.7999992370605","","%"
"Azerbaijan","2007","30.7999992370605","","%"
"Azerbaijan","2006","30.2000007629395","","%"
