"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","1000 cubic metres/day"
"Andorra","2014","0","","1000 cubic metres/day"
"Andorra","2013","0","","1000 cubic metres/day"
"Andorra","2012","0","","1000 cubic metres/day"
"Andorra","2011","0","","1000 cubic metres/day"
"Andorra","2010","0","","1000 cubic metres/day"
"Andorra","2009","0","","1000 cubic metres/day"
"Andorra","2008","0","","1000 cubic metres/day"
"Andorra","2007","0","","1000 cubic metres/day"
"Andorra","2006","0","","1000 cubic metres/day"
"Andorra","2005","0","","1000 cubic metres/day"
"Andorra","2004","0","","1000 cubic metres/day"
"Andorra","2003","0","","1000 cubic metres/day"
"Andorra","2002","0","","1000 cubic metres/day"
"Andorra","2001","0","","1000 cubic metres/day"
"Andorra","2000","0","","1000 cubic metres/day"
"Andorra","1999","0","","1000 cubic metres/day"
"Andorra","1998","0","","1000 cubic metres/day"
"Andorra","1997","0","","1000 cubic metres/day"
"Bahrain","2015","20.7000007629395","","1000 cubic metres/day"
"Bahrain","2014","21.2000007629395","","1000 cubic metres/day"
"Bahrain","2013","1.89999997615814","","1000 cubic metres/day"
"Bahrain","2012","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2011","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2010","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2009","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2008","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2007","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2006","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2005","0.479999989271164","","1000 cubic metres/day"
"Bahrain","2004","0.0299999993294477","","1000 cubic metres/day"
"Bahrain","1990","0.0299999993294477","","1000 cubic metres/day"
"Belarus","2002","212.300003051758","","1000 cubic metres/day"
"Belarus","2001","221.800003051758","","1000 cubic metres/day"
"Belarus","2000","247.600006103516","","1000 cubic metres/day"
"Belarus","1999","287.600006103516","","1000 cubic metres/day"
"Belarus","1998","251.800003051758","","1000 cubic metres/day"
"Belarus","1997","222.800003051758","","1000 cubic metres/day"
"Belarus","1996","215.399993896484","","1000 cubic metres/day"
"Belarus","1995","220.399993896484","","1000 cubic metres/day"
"Bulgaria","2015","164.191787719727","","1000 cubic metres/day"
"Bulgaria","2014","179.369857788086","","1000 cubic metres/day"
"Bulgaria","2013","181.643829345703","","1000 cubic metres/day"
"Bulgaria","2012","167.91780090332","","1000 cubic metres/day"
"Bulgaria","2011","167.643829345703","","1000 cubic metres/day"
"Bulgaria","2010","204.383560180664","","1000 cubic metres/day"
"Bulgaria","2009","198.630142211914","","1000 cubic metres/day"
"Bulgaria","2008","271.780822753906","","1000 cubic metres/day"
"Bulgaria","2007","299.452056884766","","1000 cubic metres/day"
"Bulgaria","2006","300","","1000 cubic metres/day"
"Bulgaria","2005","258.356170654297","","1000 cubic metres/day"
"Bulgaria","2004","1486.84936523438","","1000 cubic metres/day"
"Bulgaria","2003","1495.61645507813","","1000 cubic metres/day"
"Bulgaria","2002","337.260284423828","","1000 cubic metres/day"
"Bulgaria","2001","292.328765869141","","1000 cubic metres/day"
"Bulgaria","2000","389.863006591797","","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2015","127.450202941895","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2014","127.300201416016","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2013","125.680999755859","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2012","99","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2011","92.5309982299805","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2010","75.6569976806641","1","1000 cubic metres/day"
"Colombia","2014","338.088745117188","","1000 cubic metres/day"
"Colombia","2013","362.187927246094","","1000 cubic metres/day"
"Colombia","2012","367.940948486328","","1000 cubic metres/day"
"Colombia","2011","360.220733642578","","1000 cubic metres/day"
"Colombia","2010","319.315307617188","","1000 cubic metres/day"
"Colombia","2009","289.839782714844","","1000 cubic metres/day"
"Colombia","2008","256.377563476563","","1000 cubic metres/day"
"Colombia","2007","234.5","","1000 cubic metres/day"
"Costa Rica","2015","688.72998046875","","1000 cubic metres/day"
"Croatia","2015","35.4602737426758","","1000 cubic metres/day"
"Croatia","2014","36.4410972595215","","1000 cubic metres/day"
"Croatia","2013","34.5205497741699","2","1000 cubic metres/day"
"Croatia","2012","31.5068492889404","2","1000 cubic metres/day"
"Croatia","2011","19.7260265350342","","1000 cubic metres/day"
"Croatia","2010","73.1506881713867","","1000 cubic metres/day"
"Croatia","2009","47.9452056884766","","1000 cubic metres/day"
"Croatia","2008","45.2054786682129","","1000 cubic metres/day"
"Cyprus","2005","5.20547962188721","","1000 cubic metres/day"
"Cyprus","2004","4.10958909988403","","1000 cubic metres/day"
"Czechia","2015","445.205474853516","","1000 cubic metres/day"
"Czechia","2014","455.616424560547","","1000 cubic metres/day"
"Czechia","2013","484.109588623047","","1000 cubic metres/day"
