"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","53.9000015258789","1","1000 cubic metres/day"
"Albania","2014","54","1","1000 cubic metres/day"
"Andorra","2015","54.8199996948242","","1000 cubic metres/day"
"Andorra","2014","54.9370002746582","","1000 cubic metres/day"
"Andorra","2013","56.9669990539551","","1000 cubic metres/day"
"Andorra","2012","51.3712310791016","","1000 cubic metres/day"
"Andorra","2011","46.4000053405762","","1000 cubic metres/day"
"Andorra","2010","48.097526550293","","1000 cubic metres/day"
"Andorra","2009","47.7098999023438","","1000 cubic metres/day"
"Andorra","2008","47.6665191650391","","1000 cubic metres/day"
"Andorra","2007","47.035041809082","","1000 cubic metres/day"
"Andorra","2006","45.9516258239746","","1000 cubic metres/day"
"Andorra","2005","44.4393653869629","","1000 cubic metres/day"
"Andorra","2004","43.373462677002","","1000 cubic metres/day"
"Andorra","2003","40.9152870178223","","1000 cubic metres/day"
"Andorra","2002","37.995433807373","","1000 cubic metres/day"
"Andorra","2001","37.5286865234375","","1000 cubic metres/day"
"Andorra","2000","37.1496887207031","","1000 cubic metres/day"
"Andorra","1999","37.3233184814453","","1000 cubic metres/day"
"Andorra","1998","37.2701377868652","","1000 cubic metres/day"
"Armenia","2015","2221","","1000 cubic metres/day"
"Armenia","2014","2319","","1000 cubic metres/day"
"Armenia","2013","2569","","1000 cubic metres/day"
"Armenia","2012","2228","","1000 cubic metres/day"
"Armenia","2011","2056","2","1000 cubic metres/day"
"Armenia","2010","1179","","1000 cubic metres/day"
"Armenia","2009","984","","1000 cubic metres/day"
"Armenia","2008","1023","","1000 cubic metres/day"
"Armenia","2007","808","","1000 cubic metres/day"
"Armenia","2006","830","","1000 cubic metres/day"
"Armenia","2005","930","","1000 cubic metres/day"
"Armenia","2004","949","","1000 cubic metres/day"
"Armenia","2003","957","","1000 cubic metres/day"
"Armenia","2002","650","","1000 cubic metres/day"
"Armenia","2001","570","","1000 cubic metres/day"
"Armenia","2000","1027","","1000 cubic metres/day"
"Armenia","1999","992","","1000 cubic metres/day"
"Armenia","1998","1726","","1000 cubic metres/day"
"Armenia","1997","1699","","1000 cubic metres/day"
"Armenia","1996","1732","","1000 cubic metres/day"
"Armenia","1995","1742","","1000 cubic metres/day"
"Armenia","1990","2082","","1000 cubic metres/day"
"Austria","2014","6564.931640625","","1000 cubic metres/day"
"Austria","2012","6462.73974609375","","1000 cubic metres/day"
"Austria","2010","6580.5478515625","","1000 cubic metres/day"
"Austria","2008","6443.28759765625","","1000 cubic metres/day"
"Austria","2006","6561.64404296875","","1000 cubic metres/day"
"Austria","2004","6453.4248046875","","1000 cubic metres/day"
"Bahrain","2015","425.399993896484","","1000 cubic metres/day"
"Bahrain","2014","431.700012207031","","1000 cubic metres/day"
"Bahrain","2013","341.600006103516","","1000 cubic metres/day"
"Bahrain","2012","320.200012207031","","1000 cubic metres/day"
"Bahrain","2011","320.899993896484","","1000 cubic metres/day"
"Bahrain","2010","316.100006103516","","1000 cubic metres/day"
"Bahrain","2009","297.399993896484","","1000 cubic metres/day"
"Bahrain","2008","268.299987792969","","1000 cubic metres/day"
"Bahrain","2007","238.199996948242","","1000 cubic metres/day"
"Bahrain","2006","182.100006103516","","1000 cubic metres/day"
"Bahrain","2005","181.600006103516","","1000 cubic metres/day"
"Bahrain","2004","175.639999389648","","1000 cubic metres/day"
"Bahrain","1990","124.699996948242","","1000 cubic metres/day"
"Belarus","2002","3531","","1000 cubic metres/day"
"Belarus","2001","3626","","1000 cubic metres/day"
"Belarus","2000","3568","","1000 cubic metres/day"
"Belarus","1999","3601","","1000 cubic metres/day"
"Belarus","1998","3603","","1000 cubic metres/day"
"Belarus","1997","3552","","1000 cubic metres/day"
"Belarus","1996","3625","","1000 cubic metres/day"
"Belarus","1995","4002","","1000 cubic metres/day"
"Belarus","1990","5893","","1000 cubic metres/day"
"Bosnia and Herzegovina","2015","442.869995117188","","1000 cubic metres/day"
"Bosnia and Herzegovina","2014","428.429992675781","","1000 cubic metres/day"
"Bosnia and Herzegovina","2013","472.820007324219","","1000 cubic metres/day"
"Bosnia and Herzegovina","2012","487.820007324219","","1000 cubic metres/day"
"Bosnia and Herzegovina","2011","445.980834960938","","1000 cubic metres/day"
"Bosnia and Herzegovina","2010","481.687683105469","","1000 cubic metres/day"
"Bosnia and Herzegovina","2009","483.136993408203","","1000 cubic metres/day"
"Bosnia and Herzegovina","2008","302.221923828125","","1000 cubic metres/day"
"Bosnia and Herzegovina","2007","294.013702392578","","1000 cubic metres/day"
"Bosnia and Herzegovina","2006","277.832885742188","","1000 cubic metres/day"
"Bosnia and Herzegovina","2005","318.065765380859","","1000 cubic metres/day"
"Bosnia and Herzegovina","2004","311.717803955078","","1000 cubic metres/day"
"Brazil","2010","104716.796875","3","1000 cubic metres/day"
"Brazil","2006","73880.6015625","3","1000 cubic metres/day"
"Colombia","2014","2204.32202148438","4","1000 cubic metres/day"
"Colombia","2013","2217.86206054688","4","1000 cubic metres/day"
"Colombia","2012","2332.35888671875","4","1000 cubic metres/day"
"Colombia","2011","2332.86694335938","4","1000 cubic metres/day"
"Colombia","2010","2295.99194335938","4","1000 cubic metres/day"
"Colombia","2009","2501.89282226563","4","1000 cubic metres/day"
"Colombia","2008","2504.64575195313","4","1000 cubic metres/day"
"Colombia","2007","2533.54077148438","4","1000 cubic metres/day"
"Costa Rica","2015","1164.26879882813","5","1000 cubic metres/day"
