"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","1000 cubic metres/day"
"Andorra","2014","0","","1000 cubic metres/day"
"Andorra","2013","0","","1000 cubic metres/day"
"Andorra","2012","0","","1000 cubic metres/day"
"Andorra","2011","0","","1000 cubic metres/day"
"Andorra","2010","0","","1000 cubic metres/day"
"Andorra","2009","0","","1000 cubic metres/day"
"Andorra","2008","0","","1000 cubic metres/day"
"Andorra","2007","0","","1000 cubic metres/day"
"Andorra","2006","0","","1000 cubic metres/day"
"Andorra","2005","0","","1000 cubic metres/day"
"Andorra","2004","0","","1000 cubic metres/day"
"Andorra","2003","0","","1000 cubic metres/day"
"Andorra","2002","0","","1000 cubic metres/day"
"Andorra","2001","0","","1000 cubic metres/day"
"Andorra","2000","0","","1000 cubic metres/day"
"Andorra","1999","0","","1000 cubic metres/day"
"Andorra","1998","0","","1000 cubic metres/day"
"Andorra","1997","0","","1000 cubic metres/day"
"Belarus","2002","110.099998474121","","1000 cubic metres/day"
"Belarus","2001","113.300003051758","","1000 cubic metres/day"
"Belarus","2000","119.199996948242","","1000 cubic metres/day"
"Belarus","1999","122.300003051758","","1000 cubic metres/day"
"Belarus","1998","128.100006103516","","1000 cubic metres/day"
"Belarus","1997","130.399993896484","","1000 cubic metres/day"
"Belarus","1996","138.300003051758","","1000 cubic metres/day"
"Belarus","1995","148.199996948242","","1000 cubic metres/day"
"Bosnia and Herzegovina","2015","125.589042663574","","1000 cubic metres/day"
"Bosnia and Herzegovina","2014","117.298629760742","","1000 cubic metres/day"
"Bosnia and Herzegovina","2013","135.131500244141","","1000 cubic metres/day"
"Bosnia and Herzegovina","2012","140.939727783203","","1000 cubic metres/day"
"Bosnia and Herzegovina","2011","102.673973083496","","1000 cubic metres/day"
"Bosnia and Herzegovina","2010","113.054794311523","","1000 cubic metres/day"
"Bosnia and Herzegovina","2009","112.134246826172","","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2002","77.6999969482422","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2001","71.4000015258789","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","2000","61.0999984741211","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","1999","60","1","1000 cubic metres/day"
"China, Hong Kong Special Administrative Region","1998","55.7999992370605","1","1000 cubic metres/day"
"China, Macao Special Administrative Region","2002","0.300000011920929","","1000 cubic metres/day"
"China, Macao Special Administrative Region","2001","0.300000011920929","","1000 cubic metres/day"
"China, Macao Special Administrative Region","2000","0.200000002980232","","1000 cubic metres/day"
"China, Macao Special Administrative Region","1999","0.200000002980232","","1000 cubic metres/day"
"China, Macao Special Administrative Region","1998","0.100000001490116","","1000 cubic metres/day"
"China, Macao Special Administrative Region","1997","0.100000001490116","","1000 cubic metres/day"
"China, Macao Special Administrative Region","1996","0.400000005960464","","1000 cubic metres/day"
"China, Macao Special Administrative Region","1995","0.300000011920929","","1000 cubic metres/day"
"Costa Rica","2015","215","","1000 cubic metres/day"
"Costa Rica","2014","208","","1000 cubic metres/day"
"Costa Rica","2013","204","","1000 cubic metres/day"
"Costa Rica","2012","373.79345703125","","1000 cubic metres/day"
"Costa Rica","2011","370.997619628906","","1000 cubic metres/day"
"Costa Rica","2010","366.378509521484","","1000 cubic metres/day"
"Costa Rica","2009","212.955276489258","","1000 cubic metres/day"
"Costa Rica","2008","211.334747314453","","1000 cubic metres/day"
"Iraq","2012","10.1999998092651","2","1000 cubic metres/day"
"Mauritius","2000","5","3","1000 cubic metres/day"
"Mauritius","1999","4.69999980926514","3","1000 cubic metres/day"
"Mauritius","1998","4.40000009536743","3","1000 cubic metres/day"
"Mauritius","1997","4.30000019073486","3","1000 cubic metres/day"
"Mauritius","1996","3.59999990463257","3","1000 cubic metres/day"
"Mauritius","1995","3.09999990463257","3","1000 cubic metres/day"
"Mauritius","1990","1.39999997615814","3","1000 cubic metres/day"
"Monaco","2015","0","","1000 cubic metres/day"
"Monaco","2014","0","","1000 cubic metres/day"
"Monaco","2013","0","","1000 cubic metres/day"
"Monaco","2012","0","","1000 cubic metres/day"
"Monaco","2011","0","","1000 cubic metres/day"
"Monaco","2010","0","","1000 cubic metres/day"
"Monaco","2009","0","","1000 cubic metres/day"
"Monaco","2008","0","","1000 cubic metres/day"
"Monaco","2007","0","","1000 cubic metres/day"
"Monaco","2006","0","","1000 cubic metres/day"
"Monaco","2005","0","","1000 cubic metres/day"
"Monaco","2004","0","","1000 cubic metres/day"
"Monaco","2003","0","","1000 cubic metres/day"
"Monaco","2002","0","","1000 cubic metres/day"
"Monaco","2001","0","","1000 cubic metres/day"
"Monaco","2000","0","","1000 cubic metres/day"
"Monaco","1999","0","","1000 cubic metres/day"
"Monaco","1998","0","","1000 cubic metres/day"
"Monaco","1997","0","","1000 cubic metres/day"
"Monaco","1996","0","","1000 cubic metres/day"
"Monaco","1995","0","","1000 cubic metres/day"
"Monaco","1990","0","","1000 cubic metres/day"
"Singapore","2002","13","","1000 cubic metres/day"
