"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","18","","1000 cubic metres/day"
"Albania","2014","19.8999996185303","","1000 cubic metres/day"
"Algeria","2015","541","1","1000 cubic metres/day"
"Algeria","2014","478","1","1000 cubic metres/day"
"Algeria","2013","441","1","1000 cubic metres/day"
"Algeria","2012","800","","1000 cubic metres/day"
"Algeria","2011","781","","1000 cubic metres/day"
"Algeria","2010","693","","1000 cubic metres/day"
"Algeria","2009","420","","1000 cubic metres/day"
"Algeria","2008","1090","","1000 cubic metres/day"
"Algeria","2007","880","","1000 cubic metres/day"
"Algeria","2006","610","","1000 cubic metres/day"
"Algeria","2005","520","","1000 cubic metres/day"
"Algeria","2004","520","","1000 cubic metres/day"
"Algeria","2003","410","","1000 cubic metres/day"
"Algeria","2002","410","","1000 cubic metres/day"
"Algeria","2001","350","","1000 cubic metres/day"
"Andorra","2015","54.8199996948242","","1000 cubic metres/day"
"Andorra","2014","54.9370002746582","","1000 cubic metres/day"
"Andorra","2013","56.9669990539551","","1000 cubic metres/day"
"Andorra","2012","51.3712310791016","","1000 cubic metres/day"
"Andorra","2011","46.4000053405762","","1000 cubic metres/day"
"Andorra","2010","45.5790328979492","","1000 cubic metres/day"
"Andorra","2009","47.7000007629395","","1000 cubic metres/day"
"Andorra","2008","41.7999992370605","","1000 cubic metres/day"
"Andorra","2007","35.2000007629395","","1000 cubic metres/day"
"Andorra","2006","32.2999992370605","","1000 cubic metres/day"
"Andorra","2005","6.40000009536743","","1000 cubic metres/day"
"Andorra","2004","8.19999980926514","","1000 cubic metres/day"
"Andorra","2003","9.5","","1000 cubic metres/day"
"Andorra","2002","5.69999980926514","","1000 cubic metres/day"
"Andorra","2001","2.70000004768372","","1000 cubic metres/day"
"Andorra","2000","2.59999990463257","","1000 cubic metres/day"
"Andorra","1999","2.70000004768372","","1000 cubic metres/day"
"Andorra","1998","2.20000004768372","","1000 cubic metres/day"
"Andorra","1997","2.20000004768372","","1000 cubic metres/day"
"Armenia","2015","325","","1000 cubic metres/day"
"Armenia","2014","352","","1000 cubic metres/day"
"Armenia","2013","202","","1000 cubic metres/day"
"Armenia","2012","272","","1000 cubic metres/day"
"Armenia","2011","315","","1000 cubic metres/day"
"Armenia","2010","172","","1000 cubic metres/day"
"Armenia","2009","172","","1000 cubic metres/day"
"Armenia","2008","201","","1000 cubic metres/day"
"Armenia","2007","203","","1000 cubic metres/day"
"Armenia","2006","212","","1000 cubic metres/day"
"Armenia","2005","221","","1000 cubic metres/day"
"Armenia","2004","277","","1000 cubic metres/day"
"Armenia","2003","390","","1000 cubic metres/day"
"Armenia","2002","351","","1000 cubic metres/day"
"Armenia","2001","271","","1000 cubic metres/day"
"Armenia","2000","340","","1000 cubic metres/day"
"Armenia","1999","378","","1000 cubic metres/day"
"Armenia","1998","493","","1000 cubic metres/day"
"Armenia","1997","575","","1000 cubic metres/day"
"Armenia","1996","619","","1000 cubic metres/day"
"Armenia","1995","581","","1000 cubic metres/day"
"Armenia","1990","737","","1000 cubic metres/day"
"Austria","2014","3098.90405273438","","1000 cubic metres/day"
"Austria","2012","2994.5205078125","","1000 cubic metres/day"
"Austria","2010","3110.68481445313","","1000 cubic metres/day"
"Austria","2008","2208.21923828125","","1000 cubic metres/day"
"Azerbaijan","2015","595","","1000 cubic metres/day"
"Azerbaijan","2014","548","","1000 cubic metres/day"
"Azerbaijan","2013","540","","1000 cubic metres/day"
"Azerbaijan","2012","653.200012207031","","1000 cubic metres/day"
"Azerbaijan","2011","543","","1000 cubic metres/day"
"Azerbaijan","2010","555.599975585938","","1000 cubic metres/day"
"Azerbaijan","2009","547.099975585938","","1000 cubic metres/day"
"Azerbaijan","2008","573.5","","1000 cubic metres/day"
"Azerbaijan","2007","500.200012207031","","1000 cubic metres/day"
"Azerbaijan","2006","511.200012207031","","1000 cubic metres/day"
"Azerbaijan","2005","509.299987792969","","1000 cubic metres/day"
"Azerbaijan","2004","455.299987792969","","1000 cubic metres/day"
"Azerbaijan","2000","552.599975585938","","1000 cubic metres/day"
"Azerbaijan","1999","543.900024414063","","1000 cubic metres/day"
"Azerbaijan","1998","552.599975585938","","1000 cubic metres/day"
"Azerbaijan","1997","613.799987792969","","1000 cubic metres/day"
"Azerbaijan","1996","615.700012207031","","1000 cubic metres/day"
"Azerbaijan","1995","674.5","","1000 cubic metres/day"
"Azerbaijan","1990","566.5","","1000 cubic metres/day"
"Bahrain","2015","399.299987792969","","1000 cubic metres/day"
"Bahrain","2014","407.200012207031","","1000 cubic metres/day"
"Bahrain","2013","339.700012207031","","1000 cubic metres/day"
"Bahrain","2012","319.700012207031","","1000 cubic metres/day"
"Bahrain","2011","320.399993896484","","1000 cubic metres/day"
"Bahrain","2010","315.600006103516","","1000 cubic metres/day"
"Bahrain","2009","296.899993896484","","1000 cubic metres/day"
"Bahrain","2008","267.799987792969","","1000 cubic metres/day"
"Bahrain","2007","237.699996948242","","1000 cubic metres/day"
"Bahrain","2006","181.600006103516","","1000 cubic metres/day"
"Bahrain","2005","181.100006103516","","1000 cubic metres/day"
"Bahrain","2004","175.610000610352","","1000 cubic metres/day"
"Bahrain","1990","124.669998168945","","1000 cubic metres/day"
"Bangladesh","2015","80","2","1000 cubic metres/day"
"Barbados","1996","8.80000019073486","","1000 cubic metres/day"
"Belarus","2015","618","","1000 cubic metres/day"
"Belarus","2014","673","","1000 cubic metres/day"
"Belarus","2013","685","","1000 cubic metres/day"
"Belarus","2012","680","","1000 cubic metres/day"
"Belarus","2011","675","","1000 cubic metres/day"
"Belarus","2010","686","","1000 cubic metres/day"
"Belarus","2009","733","","1000 cubic metres/day"
"Belarus","2002","2422","3","1000 cubic metres/day"
"Belarus","2001","2475","3","1000 cubic metres/day"
"Belarus","2000","2421","3","1000 cubic metres/day"
"Belarus","1999","2397","3","1000 cubic metres/day"
"Belarus","1998","2405","3","1000 cubic metres/day"
"Belarus","1997","2380","3","1000 cubic metres/day"
"Belarus","1996","2386","3","1000 cubic metres/day"
"Belarus","1995","2304","3","1000 cubic metres/day"
"Belarus","1990","2518","3","1000 cubic metres/day"
"Belgium","2011","4964.19189453125","","1000 cubic metres/day"
"Belgium","2010","5455.34228515625","","1000 cubic metres/day"
"Belgium","2009","2528.76708984375","","1000 cubic metres/day"
"Belgium","2008","635.616455078125","","1000 cubic metres/day"
"Belgium","2007","536.986328125","","1000 cubic metres/day"
"Belgium","2006","298.630126953125","","1000 cubic metres/day"
"Belgium","2005","263.013702392578","","1000 cubic metres/day"
"Bolivia (Plurinational State of)","2015","317.7333984375","4","1000 cubic metres/day"
"Bolivia (Plurinational State of)","2014","311.477874755859","4","1000 cubic metres/day"
"Bolivia (Plurinational State of)","2013","265.398773193359","4","1000 cubic metres/day"
"Bolivia (Plurinational State of)","2012","249.290878295898","4","1000 cubic metres/day"
"Bolivia (Plurinational State of)","2011","232.330871582031","4","1000 cubic metres/day"
"Bosnia and Herzegovina","2015","12.8493146896362","","1000 cubic metres/day"
